id,nom,frequentation
1,Abbaye de Beaulieu-en-Rouergue,8819
2,Abbaye de Charroux,1883
3,Abbaye de Cluny,124110
4,Abbaye de La Sauve-Majeure,13390
5,Abbaye de Montmajour,40234
6,Abbaye du Bec-Hellouin,7243
7,Abbaye du Mont-Saint-Michel,1270506
8,Abbaye du Thoronet,107935
9,Alignements de Carnac,23567
10,Arc de triomphe,1732280
11,Basilique cathédrale de Saint-Denis,171441
12,Cairn de Barnenez,32499
13,Cathédrale de Besançon et son horloge astronomique,7445
14,Chapelle expiatoire,6021
15,Château d'Angers,166533
16,Château d'Assier,3948
17,Château d'Aulteribe,6693
18,Château d'Azay-le-Rideau,293594
19,Château d'If,90584
20,Château d'Oiron,20035
21,Château de Bouges,11608
22,Château de Bussy-Rabutin,31940
23,Château de Cadillac,11071
24,Château de Carrouges,22907
25,Château de Castelnau-Bretenoux,47494
26,Château de Chareil-Cintrat,2018
27,Château de Châteaudun,20615
28,Château de Coucy,14528
29,Château de Fougères-sur-Bièvre,17227
30,Château de Gramont,4681
31,Château de La Motte-Tilly,4111
32,Château de Montal,17713
33,Château de Pierrefonds,134568
34,Château de Puyguilhem,15361
35,Château de Rambouillet et Laiterie de la Reine et Chaumière aux Coquillages,28418
36,Château de Talcy,13453
37,Château de Villeneuve-Lembron,6975
38,Château de Vincennes,139155
39,Château de Voltaire à Ferney,10536
40,Château et remparts de la cité de Carcassonne,471707
41,Cloître de la cathédrale de Fréjus,25865
42,Cloître de la cathédrale du Puy-en-Velay,24783
43,Cloître de la Psalette à Tours,17804
44,Colonne de la Grande Armée à Wimille,4881
45,Conciergerie,456589
46,Domaine national de Saint-Cloud,141019
47,Fort Saint-André à Villeneuve-lez-Avignon,29068
48,Forteresse de Salses,77951
49,Grotte de Pair-non-Pair,11316
50,Maison d'Ernest Renan à Tréguier,33077
51,Maison de George Sand à Nohant,16639
52,Maison de Georges Clemenceau à Saint-Vincent-sur-Jard,2743
53,Maison des Jardies à Sèvres,867
54,Monastère de Saorge,7374
55,Monastère royal de Brou à Bourg-en-Bresse,57627
56,Palais du Tau à Reims,62623
57,Palais Jacques Coeur à Bourges,47464
58,Panthéon,724392
59,Place forte de Mont-Dauphin,10652
60,Sainte-Chapelle,951807
61,Site archéologique de Glanum,73795
62,Site archéologique de Montcaret,7651
63,Site archéologique et musée d'Ensérune,30095
64,Site des mégalithes de Locmariaquer,56656
65,Site gallo-romain de Sanxay,6243
66,Tour et crypte de la cathédrale de Bourges,33506
67,Tour Pey-Berland à Bordeaux,51685
68,Tours de la cathédrale d'Amiens,8819
69,Tours de la cathédrale de Chartres,26055
70,Tours de la cathédrale de Reims,11439
71,Tours de la cathédrale Notre-Dame de Paris,494283
72,Tours de La Rochelle,119033
73,Tours et remparts d'Aigues-Mortes,167051
74,Trophée d'Auguste à La Turbie,18595
75,Villa Savoye à Poissy,32884
